ID,Material,Category,Cost (R/ton),Type,N,P,K,Ca,Mg,S,Fe,B,Mn,Zn,Mo,Cu,C,kg,Cost (R)
1774117380.0,Manure Compost,0,575.0,Organic,2.13,1.01,1.6400000000000001,2.1999999999999997,1,0.7000000000000001,0.74,0.065,0.0481,0.052899999999999996,0.052899999999999996,0.052899999999999996,35.0,791.81,455.29074999999995
1774117380.0,MAP 33%,0,19916.0,Chemical,12.0,26.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,153.35320000000002
1774117380.0,Urea 46%,0,11759.0,Chemical,46.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.28,567.72452
1774117380.0,KCL (Potasium Chloride) ,0,10948.0,Chemical,0.0,0.0,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.03,591.52044
1774117380.0,Gypsum,0,1725.0,Chemical,0.0,0.0,0.0,23.0,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.17,169.34325
1774117440.0,Manure Compost,0,575.0,Organic,2.13,1.01,1.6400000000000001,2.1999999999999997,1,0.7000000000000001,0.74,0.065,0.0481,0.052899999999999996,0.052899999999999996,0.052899999999999996,35.0,682.64,392.518
1774117440.0,MAP 33%,0,19916.0,Chemical,12.0,26.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.94,237.79703999999998
1774117440.0,Urea 46%,0,11759.0,Chemical,46.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.19,1636.73521
1774117440.0,KCL (Potasium Chloride) ,0,10948.0,Chemical,0.0,0.0,50.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.61,630.71428
1774117440.0,Gypsum,0,1725.0,Chemical,0.0,0.0,0.0,23.0,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.62,187.3695
